,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
12794,35-39,Woman,Ukraine,Doctoral degree,4,Under 1 year,Academics/Education,Medium,500.0,Data Scientist
12796,25-29,Man,India,I prefer not to answer,3,2-3 years,Computers/Technology,Small,22500.0,Data Analyst
12797,30-34,Man,India,Professional doctorate,1,No experience,Accounting/Finance,Large,17500.0,Data Engineer
12799,22-24,Man,India,Bachelor’s degree,2,No experience,Computers/Technology,Large,500.0,Data Engineer
12800,22-24,Man,Russia,Bachelor’s degree,3,2-3 years,Accounting/Finance,Large,22500.0,Data Analyst
12802,30-34,Man,Netherlands,Bachelor’s degree,2,3-4 years,Retail/Sales,Large,112500.0,Data Scientist
12808,25-29,Man,Russia,Master’s degree,1,No experience,Manufacturing/Fabrication,Medium,500.0,Data Scientist
12809,35-39,Woman,UK,Master’s degree,2,Under 1 year,Manufacturing/Fabrication,Small,500.0,Data Scientist
12810,22-24,Woman,India,Bachelor’s degree,1,No experience,Marketing/CRM,Medium,6250.0,Other
12811,25-29,Other,India,Master’s degree,2,No experience,Academics/Education,Small,500.0,Data Engineer
12812,35-39,Man,UK,Master’s degree,2,5-10 years,Accounting/Finance,Large,95000.0,Data Scientist
12814,30-34,Woman,USA,Master’s degree,3,4-5 years,Academics/Education,Large,75000.0,Data Analyst
12817,40-44,Man,India,Bachelor’s degree,4,No experience,Computers/Technology,Large,22500.0,Data Engineer
12820,30-34,Woman,Russia,Doctoral degree,2,3-4 years,Online Service/Internet-based Services,Small,35000.0,Data Analyst
12821,40-44,Man,UK,Bachelor’s degree,1,3-4 years,Government/Public Service,Large,500.0,Data Engineer
12822,25-29,Man,Russia,Bachelor’s degree,1,No experience,Manufacturing/Fabrication,Medium,27500.0,Other
12824,50-54,Woman,UK,Doctoral degree,4,1-2 years,Academics/Education,Large,85000.0,Data Scientist
12825,45-49,Man,Poland,Master’s degree,4,5-10 years,Online Service/Internet-based Services,Medium,27500.0,Data Engineer
12828,30-34,Woman,USA,Master’s degree,2,Under 1 year,Online Service/Internet-based Services,Medium,55000.0,Other
12829,22-24,Woman,India,Master’s degree,3,2-3 years,Medical/Pharmaceutical,Medium,1500.0,Data Scientist
12830,30-34,Man,India,Master’s degree,3,Under 1 year,Academics/Education,Small,1500.0,Data Analyst
12831,30-34,Woman,India,Professional doctorate,3,Under 1 year,Other,Small,500.0,Data Scientist
12832,25-29,Woman,India,Master’s degree,2,2-3 years,Broadcasting/Communications,Large,17500.0,Data Engineer
12833,55-59,Man,USA,Doctoral degree,4,3-4 years,Academics/Education,Large,85000.0,Data Scientist
12835,25-29,Man,France,Master’s degree,1,1-2 years,Computers/Technology,Small,45000.0,Data Scientist
12836,25-29,Man,Italy,Master’s degree,3,2-3 years,Academics/Education,Large,500.0,Data Engineer
12843,25-29,Woman,USA,Bachelor’s degree,1,Under 1 year,Online Business/Internet-based Sales,Large,65000.0,Data Analyst
12846,30-34,Man,Spain,Master’s degree,3,5-10 years,Retail/Sales,Large,112500.0,Data Scientist
12847,35-39,Woman,Switzerland,Master’s degree,3,Under 1 year,Computers/Technology,Medium,75000.0,Data Engineer
12848,25-29,Man,Russia,Doctoral degree,3,No experience,Academics/Education,Small,500.0,Data Analyst
12849,30-34,Man,India,Master’s degree,4,5-10 years,Computers/Technology,Large,3500.0,Data Engineer
12854,25-29,Woman,India,Master’s degree,3,Under 1 year,Accounting/Finance,Medium,12500.0,Data Analyst
12859,35-39,Woman,India,Master’s degree,3,Under 1 year,Computers/Technology,Large,500.0,Data Analyst
12861,30-34,Woman,USA,Bachelor’s degree,2,No experience,Government/Public Service,Small,45000.0,Other
12863,22-24,Man,India,Bachelor’s degree,1,No experience,Energy/Mining,Large,2500.0,Data Engineer
12866,22-24,Man,India,Bachelor’s degree,2,No experience,Other,Small,500.0,Data Scientist
12867,45-49,Man,UK,Master’s degree,3,2-3 years,Government/Public Service,Large,55000.0,Data Scientist
12870,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Large,500.0,Data Engineer
12874,30-34,Man,Spain,Master’s degree,4,2-3 years,Accounting/Finance,Large,85000.0,Data Analyst
12877,25-29,Man,India,Master’s degree,1,1-2 years,Computers/Technology,Small,500.0,Data Scientist
12879,22-24,Man,India,Master’s degree,3,Under 1 year,Computers/Technology,Large,3500.0,Data Scientist
12881,40-44,Woman,Netherlands,Some college,2,Under 1 year,Broadcasting/Communications,Large,55000.0,Data Analyst
12883,18-21,Woman,India,Bachelor’s degree,4,Under 1 year,Academics/Education,Medium,500.0,Data Engineer
12884,22-24,Man,Russia,Master’s degree,1,4-5 years,Accounting/Finance,Small,55000.0,Data Engineer
12886,40-44,Man,Spain,Doctoral degree,3,3-4 years,Broadcasting/Communications,Large,55000.0,Data Analyst
12887,30-34,Woman,India,Master’s degree,2,1-2 years,Computers/Technology,Small,2500.0,Data Engineer
12898,35-39,Man,USA,Doctoral degree,2,Under 1 year,Manufacturing/Fabrication,Large,112500.0,Data Analyst
12899,50-54,Man,Russia,Bachelor’s degree,3,No experience,Computers/Technology,Large,35000.0,Other
12906,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Medical/Pharmaceutical,Medium,6250.0,Other
12911,45-49,Man,Germany,Master’s degree,2,2-3 years,Insurance/Risk Assessment,Large,175000.0,Other
12914,25-29,Woman,Poland,Master’s degree,2,3-4 years,Manufacturing/Fabrication,Large,45000.0,Data Analyst
12915,25-29,Man,Italy,Bachelor’s degree,1,No experience,Computers/Technology,Large,55000.0,Data Analyst
12916,22-24,Man,France,Master’s degree,1,1-2 years,Other,Large,1500.0,Data Engineer
12917,22-24,Man,India,Bachelor’s degree,4,1-2 years,Academics/Education,Small,55000.0,Data Analyst
12919,25-29,Man,USA,Master’s degree,3,Under 1 year,Computers/Technology,Large,27500.0,Data Scientist
12924,30-34,Woman,India,Master’s degree,4,4-5 years,Computers/Technology,Large,22500.0,Data Scientist
12930,25-29,Man,India,Master’s degree,1,Under 1 year,Computers/Technology,Small,2500.0,Data Engineer
12932,25-29,Woman,USA,Some college,2,Under 1 year,Computers/Technology,Large,45000.0,Data Engineer
12934,25-29,Man,UK,Doctoral degree,3,4-5 years,Medical/Pharmaceutical,Small,65000.0,Data Scientist
12935,25-29,Man,India,Master’s degree,3,Under 1 year,Hospitality/Entertainment/Sports,Large,1500.0,Data Scientist
12936,30-34,Man,India,Bachelor’s degree,1,No experience,Computers/Technology,Large,22500.0,Data Engineer
12938,45-49,Man,Belarus,High school,3,Under 1 year,Broadcasting/Communications,Large,500.0,Data Analyst
12940,22-24,Man,France,Master’s degree,1,1-2 years,Government/Public Service,Large,22500.0,Data Scientist
12947,25-29,Man,Russia,Master’s degree,2,Under 1 year,Academics/Education,Medium,4500.0,Other
12948,30-34,Man,UK,Master’s degree,2,5-10 years,Accounting/Finance,Small,75000.0,Data Scientist
12951,22-24,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,6250.0,Data Engineer
12955,40-44,Man,UK,Doctoral degree,4,1-2 years,Broadcasting/Communications,Medium,95000.0,Data Engineer
12956,25-29,Man,Portugal,Doctoral degree,1,5-10 years,Academics/Education,Large,17500.0,Data Scientist
12959,45-49,Man,Spain,Doctoral degree,3,5-10 years,Academics/Education,Small,55000.0,Data Scientist
12961,22-24,Woman,India,Master’s degree,1,2-3 years,Computers/Technology,Large,22500.0,Data Scientist
12963,45-49,Man,USA,Master’s degree,3,Under 1 year,Academics/Education,Large,175000.0,Other
12964,40-44,Man,USA,Master’s degree,3,10-20 years,Computers/Technology,Large,500.0,Data Engineer
12967,22-24,Man,USA,Master’s degree,1,No experience,Non-profit/Service,Small,500.0,Other
12968,22-24,Man,Russia,Bachelor’s degree,4,No experience,Computers/Technology,Large,3500.0,Other
12976,22-24,Man,India,Bachelor’s degree,2,No experience,Accounting/Finance,Large,12500.0,Data Engineer
12977,22-24,Man,Russia,Master’s degree,1,2-3 years,Other,Small,500.0,Data Scientist
12979,22-24,Man,India,Bachelor’s degree,2,2-3 years,Computers/Technology,Large,12500.0,Data Engineer
12981,45-49,Man,Greece,Bachelor’s degree,2,3-4 years,Academics/Education,Small,55000.0,Data Analyst
12983,45-49,Man,Switzerland,Doctoral degree,2,20 or more years,Accounting/Finance,Large,175000.0,Data Scientist
12984,50-54,Woman,Italy,Doctoral degree,2,2-3 years,Academics/Education,Large,65000.0,Data Scientist
12985,35-39,Man,USA,Master’s degree,2,1-2 years,Computers/Technology,Medium,112500.0,Data Engineer
12986,22-24,Man,Russia,Master’s degree,2,No experience,Manufacturing/Fabrication,Small,500.0,Data Analyst
12992,30-34,Man,India,Master’s degree,1,5-10 years,Computers/Technology,Large,65000.0,Data Scientist
12995,25-29,Woman,Ukraine,I prefer not to answer,1,No experience,Accounting/Finance,Large,12500.0,Data Analyst
13001,18-21,Man,Russia,Master’s degree,2,1-2 years,Computers/Technology,Large,4500.0,Data Engineer
13002,25-29,Man,India,Master’s degree,3,1-2 years,Retail/Sales,Large,6250.0,Other
13005,40-44,Other,UK,Doctoral degree,3,5-10 years,Broadcasting/Communications,Large,112500.0,Data Scientist
13013,25-29,Man,Poland,Master’s degree,1,Under 1 year,Manufacturing/Fabrication,Large,500.0,Data Scientist
13015,30-34,Man,Germany,Doctoral degree,3,Under 1 year,Academics/Education,Large,85000.0,Data Scientist
13017,45-49,Man,Poland,Master’s degree,1,Under 1 year,Computers/Technology,Small,1500.0,Data Analyst
13018,30-34,Man,India,Master’s degree,1,Under 1 year,Non-profit/Service,Large,1500.0,Data Analyst
13019,40-44,Man,India,Master’s degree,2,No experience,Government/Public Service,Large,12500.0,Other
13023,25-29,Woman,India,Bachelor’s degree,1,Under 1 year,Shipping/Transportation,Large,1500.0,Data Engineer
13024,25-29,Man,Netherlands,Master’s degree,4,Under 1 year,Energy/Mining,Large,500.0,Other
13025,40-44,Man,India,Master’s degree,3,Under 1 year,Academics/Education,Medium,1500.0,Other
13032,35-39,Woman,India,Master’s degree,2,10-20 years,Manufacturing/Fabrication,Large,175000.0,Data Engineer
13033,30-34,Man,Russia,High school,2,No experience,Manufacturing/Fabrication,Large,2500.0,Data Analyst
13034,45-49,Man,Portugal,Doctoral degree,1,3-4 years,Academics/Education,Small,95000.0,Data Engineer
13035,35-39,Man,India,Master’s degree,2,1-2 years,Academics/Education,Small,500.0,Data Scientist
13036,25-29,Man,India,Master’s degree,3,1-2 years,Computers/Technology,Medium,1500.0,Data Engineer
13040,22-24,Man,Romania,Master’s degree,2,Under 1 year,Computers/Technology,Large,1500.0,Data Scientist
13041,25-29,Man,India,Master’s degree,2,3-4 years,Accounting/Finance,Large,45000.0,Data Scientist
13043,25-29,Man,India,Bachelor’s degree,1,1-2 years,Online Service/Internet-based Services,Large,500.0,Data Scientist
13045,50-54,Man,Portugal,Professional doctorate,4,Under 1 year,Medical/Pharmaceutical,Large,45000.0,Data Analyst
13046,30-34,Man,Belgium,Master’s degree,2,3-4 years,Manufacturing/Fabrication,Medium,95000.0,Data Engineer
13049,22-24,Man,India,Master’s degree,2,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
13050,25-29,Man,India,Master’s degree,1,2-3 years,Manufacturing/Fabrication,Large,8750.0,Data Scientist
13051,55-59,Man,India,Master’s degree,2,Under 1 year,Insurance/Risk Assessment,Large,500.0,Other
13053,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Medical/Pharmaceutical,Medium,4500.0,Data Analyst
13054,25-29,Man,India,Bachelor’s degree,4,No experience,Medical/Pharmaceutical,Large,6250.0,Data Engineer
13058,40-44,Man,India,Bachelor’s degree,1,1-2 years,Government/Public Service,Large,35000.0,Data Analyst
13059,40-44,Man,USA,Bachelor’s degree,3,Under 1 year,Energy/Mining,Medium,175000.0,Other
13060,30-34,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,6250.0,Data Engineer
13061,40-44,Woman,UK,Bachelor’s degree,1,No experience,Medical/Pharmaceutical,Large,27500.0,Other
13064,22-24,Man,India,Bachelor’s degree,1,No experience,Insurance/Risk Assessment,Large,500.0,Data Analyst
13065,30-34,Man,USA,Master’s degree,3,5-10 years,Insurance/Risk Assessment,Small,137500.0,Data Engineer
13073,18-21,Man,India,Master’s degree,3,Under 1 year,Computers/Technology,Small,500.0,Data Scientist
13074,18-21,Man,India,Master’s degree,2,No experience,Other,Small,500.0,Data Analyst
13076,25-29,Man,Russia,Master’s degree,3,1-2 years,Medical/Pharmaceutical,Small,1500.0,Data Engineer
13077,25-29,Man,USA,Master’s degree,3,No experience,Medical/Pharmaceutical,Large,65000.0,Other
13079,50-54,Man,USA,Bachelor’s degree,1,No experience,Accounting/Finance,Large,112500.0,Data Analyst
13080,22-24,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,6250.0,Data Engineer
13082,22-24,Man,Greece,Bachelor’s degree,4,2-3 years,Academics/Education,Large,12500.0,Data Engineer
13085,35-39,Man,USA,Bachelor’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,45000.0,Data Engineer
13087,45-49,Man,India,Master’s degree,2,3-4 years,Marketing/CRM,Small,27500.0,Data Scientist
13088,30-34,Woman,USA,Master’s degree,2,1-2 years,Hospitality/Entertainment/Sports,Large,175000.0,Data Scientist
13090,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Other,Small,500.0,Data Scientist
13091,22-24,Woman,India,Bachelor’s degree,2,5-10 years,Computers/Technology,Medium,500.0,Data Analyst
13092,45-49,Man,USA,Master’s degree,2,1-2 years,Computers/Technology,Large,137500.0,Data Engineer
13095,22-24,Man,India,Master’s degree,1,Under 1 year,Computers/Technology,Large,3500.0,Data Analyst
13096,22-24,Man,India,Master’s degree,3,Under 1 year,Retail/Sales,Small,500.0,Data Scientist
13098,30-34,Woman,Russia,Master’s degree,1,Under 1 year,Retail/Sales,Small,500.0,Other
13099,40-44,Man,Italy,Master’s degree,3,2-3 years,Hospitality/Entertainment/Sports,Medium,27500.0,Data Scientist
13100,35-39,Man,India,Bachelor’s degree,2,No experience,Accounting/Finance,Large,12500.0,Data Analyst
13101,35-39,Man,USA,Master’s degree,3,3-4 years,Energy/Mining,Medium,112500.0,Data Scientist
13102,25-29,Man,France,Master’s degree,2,4-5 years,Computers/Technology,Large,6250.0,Data Scientist
13105,30-34,Man,Ukraine,Master’s degree,1,Under 1 year,Marketing/CRM,Medium,500.0,Data Analyst
13109,25-29,Man,India,Master’s degree,1,Under 1 year,Broadcasting/Communications,Small,2500.0,Data Scientist
13110,22-24,Woman,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
13111,25-29,Man,India,Master’s degree,2,3-4 years,Computers/Technology,Large,8750.0,Data Analyst
13114,30-34,Man,India,Master’s degree,3,No experience,Insurance/Risk Assessment,Large,22500.0,Data Engineer
13115,45-49,Man,India,Master’s degree,3,5-10 years,Broadcasting/Communications,Large,112500.0,Data Scientist
13116,25-29,Man,India,Master’s degree,3,Under 1 year,Academics/Education,Small,112500.0,Data Scientist
13119,30-34,Woman,Russia,Master’s degree,1,Under 1 year,Non-profit/Service,Small,500.0,Data Scientist
13120,40-44,Woman,Russia,High school,2,Under 1 year,Accounting/Finance,Medium,65000.0,Data Analyst
13124,30-34,Woman,India,Master’s degree,2,2-3 years,Medical/Pharmaceutical,Small,500.0,Data Analyst
13125,30-34,Man,India,Bachelor’s degree,2,3-4 years,Computers/Technology,Large,12500.0,Data Engineer
13126,40-44,Man,Spain,Master’s degree,2,4-5 years,Computers/Technology,Large,55000.0,Data Engineer
13128,22-24,Man,Russia,Master’s degree,2,2-3 years,Computers/Technology,Large,17500.0,Data Engineer
13131,35-39,Man,India,Master’s degree,2,Under 1 year,Other,Large,500.0,Data Analyst
13133,35-39,Man,Germany,Doctoral degree,2,3-4 years,Academics/Education,Large,65000.0,Data Scientist
13135,50-54,Man,India,Bachelor’s degree,2,No experience,Government/Public Service,Large,35000.0,Other
13143,40-44,Man,India,Master’s degree,4,4-5 years,Computers/Technology,Large,17500.0,Data Scientist
13144,22-24,Man,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Small,500.0,Data Scientist
13145,40-44,Man,USA,Master’s degree,4,2-3 years,Military/Security/Defense,Medium,85000.0,Data Engineer
13146,40-44,Woman,France,Doctoral degree,3,10-20 years,Academics/Education,Large,45000.0,Data Analyst
13151,35-39,Man,Germany,Master’s degree,1,1-2 years,Medical/Pharmaceutical,Large,137500.0,Data Scientist
13152,25-29,Man,Russia,Master’s degree,2,Under 1 year,Accounting/Finance,Large,12500.0,Data Analyst
13153,35-39,Man,Spain,Some college,2,2-3 years,Accounting/Finance,Small,17500.0,Data Analyst
13154,22-24,Man,USA,Bachelor’s degree,2,No experience,Other,Large,75000.0,Other
13156,45-49,Man,USA,Master’s degree,2,2-3 years,Academics/Education,Large,85000.0,Other
13159,25-29,Woman,Poland,Master’s degree,3,5-10 years,Online Service/Internet-based Services,Medium,27500.0,Data Scientist
13160,25-29,Man,USA,Master’s degree,2,No experience,Manufacturing/Fabrication,Medium,65000.0,Data Analyst
13162,18-21,Man,USA,Master’s degree,3,1-2 years,Computers/Technology,Large,2500.0,Data Engineer
13163,30-34,Man,India,Master’s degree,1,Under 1 year,Computers/Technology,Large,22500.0,Data Analyst
13165,35-39,Woman,USA,Doctoral degree,3,4-5 years,Academics/Education,Large,175000.0,Data Scientist
13166,22-24,Man,Portugal,Master’s degree,1,2-3 years,Computers/Technology,Small,27500.0,Data Engineer
13170,25-29,Man,India,Master’s degree,2,Under 1 year,Medical/Pharmaceutical,Large,500.0,Data Analyst
13171,40-44,Man,India,Doctoral degree,3,3-4 years,Academics/Education,Large,500.0,Data Scientist
13172,45-49,Man,USA,Bachelor’s degree,3,Under 1 year,Online Service/Internet-based Services,Small,137500.0,Data Engineer
13176,18-21,Man,Russia,Some college,2,2-3 years,Academics/Education,Large,1500.0,Data Scientist
13177,50-54,Man,India,Bachelor’s degree,1,Under 1 year,Other,Medium,8750.0,Other
13181,55-59,Man,Russia,Master’s degree,3,20 or more years,Manufacturing/Fabrication,Large,8750.0,Data Analyst
13183,22-24,Man,Russia,Master’s degree,2,Under 1 year,Retail/Sales,Large,8750.0,Data Analyst
